"dataset","instrument_instance"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-ae_si12","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-0373","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-ae_ocean","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-0196","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-ae_sid","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-0532","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-0451","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nsidc-g02186","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-0301","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-abom-l4hrfnd-aus-ramssa_09km","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-amsre_l3_sst_1deg_1mo","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-ccmp_measures_atlas_l4_ow_l3_0_wind_vectors_flk","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-eur-l4uhrfnd-gal-odyssea","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-jpl-l4uhblend-ncamerica-rto_sst_an","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-jpl-l4uhblend-ncamerica-rto_sst_tn","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-jpl-l4uhfnd-ncamerica-mur","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-navo-l4hr1m-glob-k10_sst","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-0302","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-ae_5dsno","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-ae_land","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-0116","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-0554","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-ae_l2a","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-0464","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-0145","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-ae_dyocn","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-ae_rngd","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-0543","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-nsidcdaac-amsrel1a","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-mw_oi-remss-l4-glob-v4-0","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-mur-jpl-l4-glob-v4-1","http://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos"
"http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smi_3month_v3","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smi_7day_v3","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smid_3month_v3","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smid_7day_v3","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smid_annual_v3","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smid_daily_v3","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_5day_daytime_v5","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
"http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_5day_nighttime_v5","http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3"
