"platform_gcis","platform_dbpedia","launchDate_gcis","launchDate_dbpedia","cospar_dbpedia"
"http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-15","http://dbpedia.org/resource/NOAA-15",1998-05-01 00:00:00,"--05-13",1998
"http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-16","http://dbpedia.org/resource/NOAA-16",2000-09-21 00:00:00,"--09-21",2000
"http://data.globalchange.gov/platform/china-brazil-earth-resources-satellite-2b","http://dbpedia.org/resource/CBERS-2B",2007-09-19 00:00:00,"--09-19",2007
"http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-7","http://dbpedia.org/resource/NOAA-7",1982-12-12 00:00:00,"--06-23",1981
"http://data.globalchange.gov/platform/proba-v","http://dbpedia.org/resource/Proba-V",2013-05-07 00:00:00,"--05-07",2013
"http://data.globalchange.gov/platform/uk-disaster-monitoring-constellation","http://dbpedia.org/resource/UK-DMC",2003-09-27 00:00:00,"--09-27",2003
"http://data.globalchange.gov/platform/aura","http://dbpedia.org/resource/Aura_(satellite)",2004-07-15 00:00:00,"--07-15",2004
"http://data.globalchange.gov/platform/indian-national-satellite-3a","http://dbpedia.org/resource/INSAT-3A",2003-04-04 00:00:00,"--04-09",2003
"http://data.globalchange.gov/platform/cartography-satellite-1","http://dbpedia.org/resource/Cartosat-1",2005-05-05 00:00:00,"--05-05",2005
"http://data.globalchange.gov/platform/bilsat-research-satellite","http://dbpedia.org/resource/BILSAT-1",2003-09-01 00:00:00,"--09-27",2003
"http://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-7","http://dbpedia.org/resource/GOES_7",1987-02-26 00:00:00,"--02-26",1987
"http://data.globalchange.gov/platform/environmental-satellite-resurs-dk-n1","http://dbpedia.org/resource/Resurs-DK_No.1",2006-06-15 00:00:00,"--06-15",2006
"http://data.globalchange.gov/platform/sich-1","http://dbpedia.org/resource/Sich-1",1995-08-31 00:00:00,"--08-31",1995
"http://data.globalchange.gov/platform/scisat-i-ace","http://dbpedia.org/resource/SCISAT-1",2003-08-12 00:00:00,"--08-13",2003
"http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18","http://dbpedia.org/resource/NOAA-18",2005-05-20 00:00:00,"--05-20",2005
"http://data.globalchange.gov/platform/upper-atmosphere-research-satellite","http://dbpedia.org/resource/Upper_Atmosphere_Research_Satellite",1991-09-15 00:00:00,"--09-12",1991
"http://data.globalchange.gov/platform/landsat-8","http://dbpedia.org/resource/Landsat_8",2013-02-11 00:00:00,"--02-11",2013
