"ContributorID","Name","Role","ChapterName","ChapterNumber"
"http://data.globalchange.gov/person/912","Sussman, Edna","Lead Author","Northeast",16
"http://data.globalchange.gov/person/3042","Wolfe, David W.","Lead Author","Northeast",16
"http://data.globalchange.gov/person/952","Easterling, William","Lead Author","Northeast",16
"http://data.globalchange.gov/person/840","Yohe, Gary","Convening Lead Author","Northeast",16
"http://data.globalchange.gov/person/898","Whelchel, Adam","Lead Author","Northeast",16
"http://data.globalchange.gov/person/848","Horton, Radley","Convening Lead Author","Northeast",16
"http://data.globalchange.gov/person/1047","Lipschultz, Fredric ","Contributing Author","Northeast",16
"http://data.globalchange.gov/person/883","Burkett, Virginia","Lead Author","Southeast and the Caribbean",17
"http://data.globalchange.gov/person/858","Wear, David","Lead Author","Southeast and the Caribbean",17
"http://data.globalchange.gov/person/830","Jones, James W.","Convening Lead Author","Southeast and the Caribbean",17
"http://data.globalchange.gov/person/1011","Murley, James F.","Lead Author","Southeast and the Caribbean",17
"http://data.globalchange.gov/person/863","Obeysekera, Jayantha","Lead Author","Southeast and the Caribbean",17
"http://data.globalchange.gov/person/832","Carter, Lynne M.","Convening Lead Author","Southeast and the Caribbean",17
"http://data.globalchange.gov/person/868","Berry, Leonard","Lead Author","Southeast and the Caribbean",17
"http://data.globalchange.gov/person/875","Schramm, Paul ","Lead Author","Southeast and the Caribbean",17
"http://data.globalchange.gov/person/821","Pryor, Sara C.","Convening Lead Author","Midwest",18
"http://data.globalchange.gov/person/825","Iverson, Louis","Lead Author","Midwest",18
"http://data.globalchange.gov/person/822","Downer, Charles","Lead Author","Midwest",18
"http://data.globalchange.gov/person/820","Scavia, Donald","Convening Lead Author","Midwest",18
"http://data.globalchange.gov/person/823","Robertson, G. Philip","Lead Author","Midwest",18
"http://data.globalchange.gov/person/827","Nordstrom, Rolf","Lead Author","Midwest",18
"http://data.globalchange.gov/person/826","Gaden, Marc","Lead Author","Midwest",18
"http://data.globalchange.gov/person/824","Patz, Jonathan","Lead Author","Midwest",18
"http://data.globalchange.gov/person/963","Kluck, Doug","Lead Author","Great Plains",19
"http://data.globalchange.gov/person/890","Shafer, Mark","Convening Lead Author","Great Plains",19
"http://data.globalchange.gov/person/973","Sherman, Kathleen","Lead Author","Great Plains",19
"http://data.globalchange.gov/person/970","Antle, John M.","Lead Author","Great Plains",19
"http://data.globalchange.gov/person/2867","Scanlon, Bridget","Lead Author","Great Plains",19
"http://data.globalchange.gov/person/884","Ojima, Dennis","Convening Lead Author","Great Plains",19
"http://data.globalchange.gov/person/985","McPherson, Renee A.","Lead Author","Great Plains",19
"http://data.globalchange.gov/person/988","Petersen, Alexander Sascha","Lead Author","Great Plains",19
"http://data.globalchange.gov/person/948","Piechota, Thomas","Lead Author","Southwest",20
"http://data.globalchange.gov/person/900","Comrie, Andrew","Lead Author","Southwest",20
"http://data.globalchange.gov/person/937","Waskom, Reagan","Lead Author","Southwest",20
"http://data.globalchange.gov/person/934","Gonzalez, Patrick","Lead Author","Southwest",20
"http://data.globalchange.gov/person/1010","Franco, Guido","Convening Lead Author","Southwest",20
"http://data.globalchange.gov/person/842","Garfin, Gregg","Convening Lead Author","Southwest",20
"http://data.globalchange.gov/person/915","Blanco, Hilda","Lead Author","Southwest",20
"http://data.globalchange.gov/person/938","Smyth, Rebecca","Lead Author","Southwest",20
"http://data.globalchange.gov/person/837","Snover, Amy K.","Convening Lead Author","Northwest",21
"http://data.globalchange.gov/person/918","Littell, Jeremy","Lead Author","Northwest",21
"http://data.globalchange.gov/person/933","Glick, Patricia","Lead Author","Northwest",21
"http://data.globalchange.gov/person/947","Capalbo, Susan","Lead Author","Northwest",21
"http://data.globalchange.gov/person/847","Mote, Philip W.","Convening Lead Author","Northwest",21
"http://data.globalchange.gov/person/946","Reeder, Spencer","Lead Author","Northwest",21
"http://data.globalchange.gov/person/945","Eigenbrode, Sanford D.","Lead Author","Northwest",21
"http://data.globalchange.gov/person/939","Raymondi, Richard","Lead Author","Northwest",21
"http://data.globalchange.gov/person/981","McCammon, Molly","Lead Author","Alaska",22
"http://data.globalchange.gov/person/977","Serreze, Mark","Lead Author","Alaska",22
"http://data.globalchange.gov/person/960","Markon, Carl","Lead Author","Alaska",22
"http://data.globalchange.gov/person/957","McGuire, A. David","Lead Author","Alaska",22
"http://data.globalchange.gov/person/894","Trainor, Sarah F.","Convening Lead Author","Alaska",22
"http://data.globalchange.gov/person/885","Chapin III, F. Stuart","Convening Lead Author","Alaska",22
"http://data.globalchange.gov/person/967","Huntington, Henry","Lead Author","Alaska",22
"http://data.globalchange.gov/person/1018","Cochran, Patricia","Lead Author","Alaska",22
"http://data.globalchange.gov/person/976","Merrifield, Mark","Lead Author","Hawai'i and U.S. Affiliated Pacific Islands",23
"http://data.globalchange.gov/person/1048","Campbell, John","Contributing Author","Hawai'i and U.S. Affiliated Pacific Islands",23
"http://data.globalchange.gov/person/964","Shea, Eileen","Lead Author","Hawai'i and U.S. Affiliated Pacific Islands",23
"http://data.globalchange.gov/person/983","Lefale, Penehuro","Contributing Author","Hawai'i and U.S. Affiliated Pacific Islands",23
"http://data.globalchange.gov/person/1050","Wang, Bin","Contributing Author","Hawai'i and U.S. Affiliated Pacific Islands",23
"http://data.globalchange.gov/person/969","Polovina, Jeffrey","Lead Author","Hawai'i and U.S. Affiliated Pacific Islands",23
"http://data.globalchange.gov/person/1049","Loope, Lloyd","Contributing Author","Hawai'i and U.S. Affiliated Pacific Islands",23
