"s","lauchDate","deactivated"
"http://data.globalchange.gov/platform/landsat-3",1978-03-05 00:00:00,1983-03-21 00:00:00
"http://data.globalchange.gov/platform/constellation-observing-system-for-meteorology-ionosphere-and-climate-4",2006-04-14 00:00:00,2015-03-01 00:00:00
"http://data.globalchange.gov/platform/constellation-observing-system-for-meteorology-ionosphere-and-climate-5",2006-04-14 00:00:00,2015-03-01 00:00:00
"http://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-14",1997-04-04 00:00:00,2015-12-01 00:00:00
"http://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-18",2009-10-18 00:00:00,2015-04-01 00:00:00
"http://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-19",2014-04-03 00:00:00,2019-03-01 00:00:00
"http://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-7",1983-11-18 00:00:00,2002-09-30 00:00:00
"http://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-8",1987-06-01 00:00:00,2004-09-30 00:00:00
"http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-19",2009-02-04 00:00:00,2016-03-01 00:00:00
"http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-1",1982-12-12 00:00:00,1995-12-31 00:00:00
"http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-10",1986-09-17 00:00:00,1997-12-31 00:00:00
"http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-13",1993-08-09 00:00:00,1993-08-09 00:00:00
"http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-15",1998-05-01 00:00:00,2015-12-01 00:00:00
"http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-5",1982-12-12 00:00:00,1995-12-31 00:00:00
"http://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-8",1982-12-12 00:00:00,1995-12-31 00:00:00
"http://data.globalchange.gov/platform/tiros-m-itos-1",1978-10-13 00:00:00,1981-02-27 00:00:00
"http://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-sms-1",1987-02-26 00:00:00,1995-01-01 00:00:00
"http://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-sms-2",1987-02-26 00:00:00,1995-01-01 00:00:00
